Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC
0,https://www.zillow.com/b/1702-w-yuma-st-phoenix-az-5j2Sw6/,Building,,,,,,,1702 W  Yuma St,Phoenix,85007,AZ,USA,1.0
1,https://www.zillow.com/homedetails/2032-W-Adams-St-UNIT-4-Phoenix-AZ-85009/2104453690_zpid/,Apartment,750.0,200.0,sqft,3.75,,1.0,2032 W Adams St,Phoenix,85009,AZ,USA,0.0
2,https://www.zillow.com/apartments/phoenix-az/towers-apartments/5XwR8F/,Building,,,,,,,11850 N  19th Ave,Phoenix,85029,AZ,USA,1.0
3,https://www.zillow.com/apartments/phoenix-az/seventh/5XhyFv/,Building,,,,,,,5145 N  7th St,Phoenix,85014,AZ,USA,1.0
4,https://www.zillow.com/homedetails/1595-W-Mountain-View-Rd-8-Phoenix-AZ-85021/345113136_zpid/,Apartment,795.0,350.0,sqft,2.27,1.0,1.0,1595 W Mountain View Rd,Phoenix,85021,AZ,USA,0.0
5,https://www.zillow.com/apartments/phoenix-az/gc-3734-apartments/5XjqDY/,Building,,,,,,,3734 W  Camelback Rd,Phoenix,85019,AZ,USA,0.0
6,https://www.zillow.com/homedetails/10634-N-13th-Ave-1-Phoenix-AZ-85029/2072100525_zpid/,Apartment,799.0,440.0,sqft,1.82,,1.0,10634 N 13th Ave,Phoenix,85029,AZ,USA,0.0
7,https://www.zillow.com/apartments/phoenix-az/lumina-on-19th-apartments/5XhyKC/,Building,,,,,,,1905 W  Las Palmaritas Dr -D141,Phoenix,85021,AZ,USA,0.0
8,https://www.zillow.com/apartments/phoenix-az/duo-apartments/5XhyJc/,Building,,,,,,,1116 W  Indian School Rd   e1446bdf,Phoenix,85013,AZ,USA,0.0
9,https://www.zillow.com/b/wardclub-602-phoenix-az-5j2QnX/,Apartment,800.0,,,,1.0,1.0,7516 N 21st Ave,Phoenix,85021,AZ,USA,0.0
