Unique ID,Property URL,Property type,Rental price (USD per month),Living area,Living area unit,Price per living area unit (USD),Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,Exact,Formatted Address,Coordinates,N,LR
0,https://www.zillow.com/b/1702-w-yuma-st-phoenix-az-5j2Sw6/,Building,,,,,,,1702 W  Yuma St,Phoenix,85007,AZ,USA,1.0,"1702 W  Yuma St, Phoenix, AZ, 85007",Match,Exact,"1702 W YUMA ST, PHOENIX, AZ, 85007","-112.09574186404336,33.43497118159928",128211705.0,R
1,https://www.zillow.com/homedetails/2032-W-Adams-St-UNIT-4-Phoenix-AZ-85009/2104453690_zpid/,Apartment,750.0,200.0,sqft,3.75,,1.0,2032 W Adams St,Phoenix,85009,AZ,USA,0.0,"2032 W Adams St, Phoenix, AZ, 85009",Match,Exact,"2032 W ADAMS ST, PHOENIX, AZ, 85009","-112.10299519419283,33.44924810236171",128211511.0,R
2,https://www.zillow.com/apartments/phoenix-az/towers-apartments/5XwR8F/,Building,,,,,,,11850 N  19th Ave,Phoenix,85029,AZ,USA,1.0,"11850 N  19th Ave, Phoenix, AZ, 85029",Match,Exact,"11850 N 19TH AVE, PHOENIX, AZ, 85029","-112.09967461212034,33.59474827466369",639301449.0,L
3,https://www.zillow.com/apartments/phoenix-az/seventh/5XhyFv/,Building,,,,,,,5145 N  7th St,Phoenix,85014,AZ,USA,1.0,"5145 N  7th St, Phoenix, AZ, 85014",Match,Exact,"5145 N 7TH ST, PHOENIX, AZ, 85014","-112.06493923092899,33.51137684456131",128958817.0,R
4,https://www.zillow.com/homedetails/1595-W-Mountain-View-Rd-8-Phoenix-AZ-85021/345113136_zpid/,Apartment,795.0,350.0,sqft,2.27,1.0,1.0,1595 W Mountain View Rd,Phoenix,85021,AZ,USA,0.0,"1595 W Mountain View Rd, Phoenix, AZ, 85021",Match,Exact,"1595 W MOUNTAIN VIEW RD, PHOENIX, AZ, 85021","-112.09323530667103,33.57483420223264",128203311.0,L
5,https://www.zillow.com/apartments/phoenix-az/gc-3734-apartments/5XjqDY/,Building,,,,,,,3734 W  Camelback Rd,Phoenix,85019,AZ,USA,0.0,"3734 W  Camelback Rd, Phoenix, AZ, 85019",Match,Exact,"3734 W CAMELBACK RD, PHOENIX, AZ, 85019","-112.1393071058144,33.509494382932246",128199163.0,R
6,https://www.zillow.com/homedetails/10634-N-13th-Ave-1-Phoenix-AZ-85029/2072100525_zpid/,Apartment,799.0,440.0,sqft,1.82,,1.0,10634 N 13th Ave,Phoenix,85029,AZ,USA,0.0,"10634 N 13th Ave, Phoenix, AZ, 85029",Match,Exact,"10634 N 13TH AVE, PHOENIX, AZ, 85029","-112.0890485960494,33.5824752487739",128203464.0,L
7,https://www.zillow.com/apartments/phoenix-az/lumina-on-19th-apartments/5XhyKC/,Building,,,,,,,1905 W  Las Palmaritas Dr -D141,Phoenix,85021,AZ,USA,0.0,"1905 W  Las Palmaritas Dr -D141, Phoenix, AZ, 85021",Match,Non_Exact,"1905 W LAS PALMARITAS DR, PHOENIX, AZ, 85021","-112.1023694980218,33.55660377749285",243914927.0,R
8,https://www.zillow.com/apartments/phoenix-az/duo-apartments/5XhyJc/,Building,,,,,,,1116 W  Indian School Rd   e1446bdf,Phoenix,85013,AZ,USA,0.0,"1116 W  Indian School Rd   e1446bdf, Phoenix, AZ, 85013",Match,Non_Exact,"1116 W INDIAN SCHOOL RD, PHOENIX, AZ, 85013","-112.08717175805032,33.49499409975789",128206244.0,R
9,https://www.zillow.com/b/wardclub-602-phoenix-az-5j2QnX/,Apartment,800.0,,,,1.0,1.0,7516 N 21st Ave,Phoenix,85021,AZ,USA,0.0,"7516 N 21st Ave, Phoenix, AZ, 85021",Match,Exact,"7516 N 21ST AVE, PHOENIX, AZ, 85021","-112.10401540220204,33.54658701028626",128203171.0,L
10,https://www.zillow.com/b/2916m-phoenix-az-5YmYHd/,Apartment,800.0,244.0,sqft,3.28,,1.0,2916 E Monroe St,Phoenix,85034,AZ,USA,0.0,"2916 E Monroe St, Phoenix, AZ, 85034",Match,Exact,"2916 E MONROE ST, PHOENIX, AZ, 85034","-112.01905768297922,33.450350653527096",128223386.0,L
11,https://www.zillow.com/apartments/phoenix-az/spectra-midtown/9pccMP/,Building,,,,,,,2030 W  Indian School Rd,Phoenix,85015,AZ,USA,0.0,"2030 W  Indian School Rd, Phoenix, AZ, 85015",Match,Exact,"2030 W INDIAN SCHOOL RD, PHOENIX, AZ, 85015","-112.10279802180725,33.49511058965868",128205226.0,R
12,https://www.zillow.com/apartments/phoenix-az/cielo-apartments/5XhyPr/,Building,,,,,,,8222 N  19th Ave,Phoenix,85021,AZ,USA,1.0,"8222 N  19th Ave, Phoenix, AZ, 85021",Match,Exact,"8222 N 19TH AVE, PHOENIX, AZ, 85021","-112.09972940971232,33.557923151781836",637754395.0,L
