Unique ID,Street address,City,State,Zip
0,1702 W  Yuma St,Phoenix,AZ,85007
1,2032 W Adams St,Phoenix,AZ,85009
2,11850 N  19th Ave,Phoenix,AZ,85029
3,5145 N  7th St,Phoenix,AZ,85014
4,1595 W Mountain View Rd,Phoenix,AZ,85021
5,3734 W  Camelback Rd,Phoenix,AZ,85019
6,10634 N 13th Ave,Phoenix,AZ,85029
7,1905 W  Las Palmaritas Dr -D141,Phoenix,AZ,85021
8,1116 W  Indian School Rd   e1446bdf,Phoenix,AZ,85013
9,7516 N 21st Ave,Phoenix,AZ,85021
10,2916 E Monroe St,Phoenix,AZ,85034
11,2030 W  Indian School Rd,Phoenix,AZ,85015
12,8222 N  19th Ave,Phoenix,AZ,85021
13,3221 W  El Camino Dr f5d61a9e,Phoenix,AZ,85051
14,8135 N  35th Ave ed5cc2ce,Phoenix,AZ,85051
15,6601 S 22nd Way,Phoenix,AZ,85042
16,1448 S 13th Ave,Phoenix,AZ,85007
17,1925 W Village Dr,Phoenix,AZ,85023
18,5128 N  15th St,Phoenix,AZ,85014
19,2139 W Glenrosa Ave,Phoenix,AZ,85015
20,829 N 4th Ave,Phoenix,AZ,85003
21,12810 N  Cave Creek Rd,Phoenix,AZ,85022
22,12435 N  28th Dr   -F15,Phoenix,AZ,85029
23,3161 W  Cheryl Dr,Phoenix,AZ,85051
24,338 N  23rd St,Phoenix,AZ,85006
25,2323 E  Van Buren St S,Phoenix,AZ,85006
26,6545 N  19th Ave,Phoenix,AZ,85015
27,1601 W  Camelback Rd,Phoenix,AZ,85015
28,1229 W Pierce St,Phoenix,AZ,85007
29,1223 Grand Ave,Phoenix,AZ,85007
30,8816 N 6th Pl,Phoenix,AZ,85020
31,9230 N 6th St,Phoenix,AZ,85020
32,909 E Roosevelt St,Phoenix,AZ,85006
33,1216 W Roosevelt St,Phoenix,AZ,85007
34,621 N  30th Pl,Phoenix,AZ,85008
35,3810 N  Maryvale Pkwy,Phoenix,AZ,85031
36,6653 N 27th Ave,Phoenix,AZ,85017
37,1402 W Polk St,Phoenix,AZ,85007
38,8816 N 6th Pl,Phoenix,AZ,85020
39,4214 N 10th St,Phoenix,AZ,85014
40,1301 W Clarendon Ave,Phoenix,AZ,85013
41,4223 N 1st Ave,Phoenix,AZ,85013
42,9202 N  19th Ave  e7e2d315,Phoenix,AZ,85021
43,2010 E Sweetwater Ave,Phoenix,AZ,85022
44,2343 E Pueblo Ave,Phoenix,AZ,85040
45,825 N  2nd Ave,Phoenix,AZ,85003
46,602 N 5th Ave,Phoenix,AZ,85003
47,9238 N 7th Ave,Phoenix,AZ,85021
48,4903 W  Thomas Rd,Phoenix,AZ,85031
49,11821 N  28th Dr   ad5dcd,Phoenix,AZ,85029
50,5106 E  Van Buren St,Phoenix,AZ,85008
51,5115 N  40th St,Phoenix,AZ,85018
52,2201 E Roosevelt St,Phoenix,AZ,85006
53,2501 W  Ocotillo Rd,Phoenix,AZ,85017
54,1502 W  Glendale Ave  fccd959,Phoenix,AZ,85021
55,2122 W Amelia Ave,Phoenix,AZ,85015
56,6131 N  27th Ave,Phoenix,AZ,85017
57,4141 W  Glendale Ave,Phoenix,AZ,85051
58,1041 N  25th Pl,Phoenix,AZ,85008
59,2809 E Wier Ave,Phoenix,AZ,85040
60,8837 N 2nd Way,Phoenix,AZ,85020
61,2020 W  Orangewood Ave,Phoenix,AZ,85021
62,5024 E  Thomas Rd,Phoenix,AZ,85018
63,8829 N 6th St,Phoenix,AZ,85020
64,721 W Cheryl Dr,Phoenix,AZ,85021
65,4143 N 27th St,Phoenix,AZ,85016
66,9242 N  7th Ave,Phoenix,AZ,85021
67,5150 N 22nd Ave,Phoenix,AZ,85015
68,14020 N  Black Canyon Hwy  f4f,Phoenix,AZ,85053
69,9606 N 11th Ave,Phoenix,AZ,85021
70,4211 S 3rd St,Phoenix,AZ,85040
71,4130 N 12th St,Phoenix,AZ,85014
72,15605 N 29th St,Phoenix,AZ,85032
73,3131 W  Cochise Dr Unit 107,Phoenix,AZ,85051
74,1103 W Sherman St,Phoenix,AZ,85007
75,1548 W  McKinley St,Phoenix,AZ,85007
76,2230 E Polk St,Phoenix,AZ,85006
77,6702 N  17th Ave,Phoenix,AZ,85015
78,6242 N 27th Ave,Phoenix,AZ,85017
79,2113 N 24th Pl,Phoenix,AZ,85008
80,9647 N 10th Ave,Phoenix,AZ,85021
81,3105 W Van,Phoenix,AZ,85009
82,6310 N Black Canyon Hwy,Phoenix,AZ,85017
83,6310 N Black Canyon Hwy,Phoenix,AZ,85017
84,2310 E Roosevelt St,Phoenix,AZ,85006
85,2700 W  Sahuaro Dr   bcbe1838,Phoenix,AZ,85029
86,4030 N  44th Ave,Phoenix,AZ,85031
87,901 E  Pierce St,Phoenix,AZ,85006
88,1846 E Washington St,Phoenix,AZ,85034
89,425 N  18th Dr,Phoenix,AZ,85007
90,1324 E Taylor St,Phoenix,AZ,85006
91,1153 E Taylor St,Phoenix,AZ,85006
92,1525 W Garfield St,Phoenix,AZ,85007
93,1502 E Adams St,Phoenix,AZ,85034
94,1534 W Fillmore St APT A,Phoenix,AZ,85007
95,1146 E Fillmore St,Phoenix,AZ,85006
96,2025 W  Indian School Rd,Phoenix,AZ,85015
97,2550 W  Hazelwood St -H206,Phoenix,AZ,85017
98,1736 E Brill St,Phoenix,AZ,85006
99,3045 N  67th Ave,Phoenix,AZ,85033
100,525 N 32nd St,Phoenix,AZ,85008
101,2925 N 19th Ave,Phoenix,AZ,85015
102,2417 W  Campbell Ave  Unit 303,Phoenix,AZ,85015
103,4040 W  Peoria Ave,Phoenix,AZ,85029
104,14014 N  32nd St   c05bed1e,Phoenix,AZ,85032
105,536 E  Portland St,Phoenix,AZ,85004
106,3333 W  Dunlap Ave,Phoenix,AZ,85051
107,206 E Jones Ave,Phoenix,AZ,85040
108,9423 N 17th Ave,Phoenix,AZ,85021
109,3333 W  Thunderbird Rd,Phoenix,AZ,85053
110,206 E Jones St,Phoenix,AZ,85040
111,2936 E Indian School Rd,Phoenix,AZ,85016
112,1831 W  Mulberry Dr   Unit 136,Phoenix,AZ,85015
113,3011 N 39th St,Phoenix,AZ,85018
114,4802 N  12th St,Phoenix,AZ,85014
115,15620 N  25th Ave,Phoenix,AZ,85023
