"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2022 inflation-adjusted dollars)",
"1400000US04013010102","Census Tract 101.02; Maricopa County; Arizona","181408","33492",
"1400000US04013010103","Census Tract 101.03; Maricopa County; Arizona","128446","41524",
"1400000US04013010104","Census Tract 101.04; Maricopa County; Arizona","136418","16871",
"1400000US04013030401","Census Tract 304.01; Maricopa County; Arizona","150645","41911",
"1400000US04013030402","Census Tract 304.02; Maricopa County; Arizona","91250","24800",
"1400000US04013040502","Census Tract 405.02; Maricopa County; Arizona","61543","10603",
"1400000US04013040506","Census Tract 405.06; Maricopa County; Arizona","56567","6219",
"1400000US04013040507","Census Tract 405.07; Maricopa County; Arizona","63398","5995",
"1400000US04013040512","Census Tract 405.12; Maricopa County; Arizona","62422","7930",
"1400000US04013040513","Census Tract 405.13; Maricopa County; Arizona","72222","12550",
"1400000US04013040514","Census Tract 405.14; Maricopa County; Arizona","63438","8793",
"1400000US04013040515","Census Tract 405.15; Maricopa County; Arizona","71250","21025",
"1400000US04013040516","Census Tract 405.16; Maricopa County; Arizona","91273","9789",
"1400000US04013040522","Census Tract 405.22; Maricopa County; Arizona","59277","12790",
"1400000US04013040523","Census Tract 405.23; Maricopa County; Arizona","81250","14564",
"1400000US04013040524","Census Tract 405.24; Maricopa County; Arizona","85341","18266",
"1400000US04013040525","Census Tract 405.25; Maricopa County; Arizona","70625","7274",
"1400000US04013040526","Census Tract 405.26; Maricopa County; Arizona","70089","14752",
"1400000US04013040527","Census Tract 405.27; Maricopa County; Arizona","77206","11494",
"1400000US04013040528","Census Tract 405.28; Maricopa County; Arizona","75113","3918",
"1400000US04013040529","Census Tract 405.29; Maricopa County; Arizona","86105","8571",
"1400000US04013040530","Census Tract 405.30; Maricopa County; Arizona","84596","29000",
"1400000US04013040531","Census Tract 405.31; Maricopa County; Arizona","54368","8535",
"1400000US04013040532","Census Tract 405.32; Maricopa County; Arizona","104840","19098",
"1400000US04013040533","Census Tract 405.33; Maricopa County; Arizona","124000","17118",
"1400000US04013040534","Census Tract 405.34; Maricopa County; Arizona","74741","22721",
"1400000US04013040535","Census Tract 405.35; Maricopa County; Arizona","111000","14941",
"1400000US04013040536","Census Tract 405.36; Maricopa County; Arizona","127702","23613",
"1400000US04013040537","Census Tract 405.37; Maricopa County; Arizona","124995","34778",
"1400000US04013040538","Census Tract 405.38; Maricopa County; Arizona","94504","29095",
"1400000US04013040539","Census Tract 405.39; Maricopa County; Arizona","82487","9395",
"1400000US04013040540","Census Tract 405.40; Maricopa County; Arizona","95534","5267",
"1400000US04013040541","Census Tract 405.41; Maricopa County; Arizona","52044","10481",
"1400000US04013050603","Census Tract 506.03; Maricopa County; Arizona","73333","9656",
"1400000US04013050604","Census Tract 506.04; Maricopa County; Arizona","71583","9582",
"1400000US04013050609","Census Tract 506.09; Maricopa County; Arizona","77541","10350",
"1400000US04013050611","Census Tract 506.11; Maricopa County; Arizona","99014","7257",
"1400000US04013050612","Census Tract 506.12; Maricopa County; Arizona","100413","4569",
"1400000US04013050613","Census Tract 506.13; Maricopa County; Arizona","96989","7223",
"1400000US04013050614","Census Tract 506.14; Maricopa County; Arizona","98448","25678",
"1400000US04013050615","Census Tract 506.15; Maricopa County; Arizona","71274","13907",
"1400000US04013050616","Census Tract 506.16; Maricopa County; Arizona","85091","35928",
"1400000US04013050617","Census Tract 506.17; Maricopa County; Arizona","94141","24392",
"1400000US04013050618","Census Tract 506.18; Maricopa County; Arizona","150486","16800",
"1400000US04013050619","Census Tract 506.19; Maricopa County; Arizona","130197","41655",
"1400000US04013050620","Census Tract 506.20; Maricopa County; Arizona","114378","10267",
"1400000US04013050621","Census Tract 506.21; Maricopa County; Arizona","88023","12318",
"1400000US04013050701","Census Tract 507.01; Maricopa County; Arizona","68868","6587",
"1400000US04013050702","Census Tract 507.02; Maricopa County; Arizona","68798","16447",
"1400000US04013060801","Census Tract 608.01; Maricopa County; Arizona","42700","10285",
"1400000US04013060802","Census Tract 608.02; Maricopa County; Arizona","76307","9926",
"1400000US04013060901","Census Tract 609.01; Maricopa County; Arizona","71250","19770",
"1400000US04013060902","Census Tract 609.02; Maricopa County; Arizona","45250","15987",
"1400000US04013060903","Census Tract 609.03; Maricopa County; Arizona","79226","11946",
"1400000US04013060904","Census Tract 609.04; Maricopa County; Arizona","65238","16245",
"1400000US04013061010","Census Tract 610.10; Maricopa County; Arizona","116607","21031",
"1400000US04013061011","Census Tract 610.11; Maricopa County; Arizona","115549","13804",
"1400000US04013061013","Census Tract 610.13; Maricopa County; Arizona","105268","14741",
"1400000US04013061014","Census Tract 610.14; Maricopa County; Arizona","61657","21182",
"1400000US04013061015","Census Tract 610.15; Maricopa County; Arizona","82929","22541",
"1400000US04013061017","Census Tract 610.17; Maricopa County; Arizona","-","**",
"1400000US04013061018","Census Tract 610.18; Maricopa County; Arizona","74750","10957",
"1400000US04013061020","Census Tract 610.20; Maricopa County; Arizona","129583","22691",
"1400000US04013061021","Census Tract 610.21; Maricopa County; Arizona","131552","16845",
"1400000US04013061024","Census Tract 610.24; Maricopa County; Arizona","98681","12534",
"1400000US04013061026","Census Tract 610.26; Maricopa County; Arizona","92197","22161",
"1400000US04013061027","Census Tract 610.27; Maricopa County; Arizona","90925","20796",
"1400000US04013061028","Census Tract 610.28; Maricopa County; Arizona","69299","6947",
"1400000US04013061029","Census Tract 610.29; Maricopa County; Arizona","82040","10100",
"1400000US04013061031","Census Tract 610.31; Maricopa County; Arizona","114479","23333",
"1400000US04013061032","Census Tract 610.32; Maricopa County; Arizona","102330","21472",
