ID,Property URL,MLS ID,Property price (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,State,Country,AC,Address,Match,ExactResult,FormattedAddress,Coordinates,No,LR
1,https://www.zillow.com/homedetails/3646-N-69th-Ave-UNIT-40-Phoenix-AZ-85033/7485017_zpid/,,50000,3/8/2024,950.0,sqft,52.63,819.0,sqft,,2.0,3646 N 69th Ave UNIT 40,Phoenix,85033,AZ,USA,1,"3646 N 69th Ave UNIT 40, Phoenix, AZ, 85033",Match,Exact,"3646 N 69TH AVE, PHOENIX, AZ, 85033","-112.20763865344708,33.48980858195273",128194100.0,R
2,https://www.zillow.com/homedetails/2833-W-Melvin-St-Phoenix-AZ-85009/7514226_zpid/,,50000,10/27/2021,836.0,sqft,59.81,6500.0,sqft,,1.0,2833 W Melvin St,Phoenix,85009,AZ,USA,1,"2833 W Melvin St, Phoenix, AZ, 85009",Match,Exact,"2833 W MELVIN ST, PHOENIX, AZ, 85009","-112.1207698806175,33.45207197791308",128210635.0,L
3,https://www.zillow.com/homedetails/2816-N-Dayton-St-Phoenix-AZ-85006/7533654_zpid/,,50000,3/15/2022,1004.0,sqft,49.8,8010.0,sqft,3.0,1.0,2816 N Dayton St,Phoenix,85006,AZ,USA,1,"2816 N Dayton St, Phoenix, AZ, 85006",Match,Exact,"2816 N DAYTON ST, PHOENIX, AZ, 85006","-112.05968578486386,33.47947782523511",128213118.0,L
4,https://www.zillow.com/homedetails/1831-E-Raymond-St-Phoenix-AZ-85040/7546198_zpid/,,50000,9/27/2023,,,,7326.0,sqft,,,1831 E Raymond St,Phoenix,85040,AZ,USA,0,"1831 E Raymond St, Phoenix, AZ, 85040",Match,Exact,"1831 E RAYMOND ST, PHOENIX, AZ, 85040","-112.04239572117092,33.412920707345336",128215851.0,R
5,https://www.zillow.com/homedetails/4153-E-Nancy-Ln-Phoenix-AZ-85042/7551338_zpid/,,50000,4/18/2022,1371.0,sqft,36.47,6704.0,sqft,,2.0,4153 E Nancy Ln,Phoenix,85042,AZ,USA,1,"4153 E Nancy Ln, Phoenix, AZ, 85042",Match,Exact,"4153 E NANCY LN, PHOENIX, AZ, 85042","-111.99200161508026,33.390694115727285",128224825.0,R
6,https://www.zillow.com/homedetails/6201-E-Calle-Rosa-Scottsdale-AZ-85251/7568462_zpid/,,50000,8/11/2023,2338.0,sqft,21.39,0.46,acres,,2.0,6201 E Calle Rosa,Scottsdale,85251,AZ,USA,1,"6201 E Calle Rosa, Scottsdale, AZ, 85251",Match,Exact,"6201 E CLL ROSA, SCOTTSDALE, AZ, 85251","-111.94729605953938,33.49287725392276",128944132.0,R
7,https://www.zillow.com/homedetails/6401-W-Devonshire-Ave-Phoenix-AZ-85033/7717321_zpid/,,50000,7/5/2022,1529.0,sqft,32.7,9161.0,sqft,,2.0,6401 W Devonshire Ave,Phoenix,85033,AZ,USA,1,"6401 W Devonshire Ave, Phoenix, AZ, 85033",Match,Exact,"6401 W DEVONSHIRE AVE, PHOENIX, AZ, 85033","-112.19748334734959,33.49665381767784",128194788.0,L
8,https://www.zillow.com/homedetails/3638-W-Sunnyside-Ave-Phoenix-AZ-85029/7743387_zpid/,,50000,4/28/2023,1550.0,sqft,32.26,1.0,acres,2.0,2.0,3638 W Sunnyside Ave,Phoenix,85029,AZ,USA,1,"3638 W Sunnyside Ave, Phoenix, AZ, 85029",Match,Exact,"3638 W SUNNYSIDE AVE, PHOENIX, AZ, 85029","-112.13719316309567,33.5924531623445",128382644.0,R
9,https://www.zillow.com/homedetails/1637-W-Campbell-Ave-Phoenix-AZ-85015/7771860_zpid/,,50000,3/27/2023,1489.0,sqft,33.58,7422.0,sqft,4.0,3.0,1637 W Campbell Ave,Phoenix,85015,AZ,USA,1,"1637 W Campbell Ave, Phoenix, AZ, 85015",Match,Exact,"1637 W CAMPBELL AVE, PHOENIX, AZ, 85015","-112.09428970005467,33.502159733605595",128205933.0,L
10,https://www.zillow.com/homedetails/2314-W-Orchid-Ln-Phoenix-AZ-85021/7782297_zpid/,,50000,10/20/2021,1362.0,sqft,36.71,6726.0,sqft,,2.0,2314 W Orchid Ln,Phoenix,85021,AZ,USA,1,"2314 W Orchid Ln, Phoenix, AZ, 85021",Match,Exact,"2314 W ORCHID LN, PHOENIX, AZ, 85021","-112.108576250287,33.56255464363335",128202703.0,R
11,https://www.zillow.com/homedetails/3033-E-Devonshire-Ave-UNIT-1005-Phoenix-AZ-85016/7802429_zpid/,,50000,6/18/2021,849.0,sqft,58.89,800.0,sqft,,1.0,3033 E Devonshire Ave UNIT 1005,Phoenix,85016,AZ,USA,1,"3033 E Devonshire Ave UNIT 1005, Phoenix, AZ, 85016",Match,Exact,"3033 E DEVONSHIRE AVE, PHOENIX, AZ, 85016","-112.01752944987038,33.49691216654986",653304462.0,L
