,ID,Property price (USD),Sold date (MM/DD/YYYY),Address,Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Street address,City,Zip,AC,FormattedAddress,Longitude,Latitude
0,1,50000,3/8/2024,"3646 N 69th Ave UNIT 40, Phoenix, AZ, 85033",950.0,sqft,52.63,819.0,sqft,,2.0,3646 N 69th Ave UNIT 40,Phoenix,85033,1,"3646 N 69TH AVE, PHOENIX, AZ, 85033",-112.20763865344708,33.48980858195273
1,2,50000,10/27/2021,"2833 W Melvin St, Phoenix, AZ, 85009",836.0,sqft,59.81,6500.0,sqft,,1.0,2833 W Melvin St,Phoenix,85009,1,"2833 W MELVIN ST, PHOENIX, AZ, 85009",-112.1207698806175,33.45207197791308
2,3,50000,3/15/2022,"2816 N Dayton St, Phoenix, AZ, 85006",1004.0,sqft,49.8,8010.0,sqft,3.0,1.0,2816 N Dayton St,Phoenix,85006,1,"2816 N DAYTON ST, PHOENIX, AZ, 85006",-112.05968578486386,33.47947782523511
3,4,50000,9/27/2023,"1831 E Raymond St, Phoenix, AZ, 85040",,,,7326.0,sqft,,,1831 E Raymond St,Phoenix,85040,0,"1831 E RAYMOND ST, PHOENIX, AZ, 85040",-112.04239572117092,33.412920707345336
4,5,50000,4/18/2022,"4153 E Nancy Ln, Phoenix, AZ, 85042",1371.0,sqft,36.47,6704.0,sqft,,2.0,4153 E Nancy Ln,Phoenix,85042,1,"4153 E NANCY LN, PHOENIX, AZ, 85042",-111.99200161508026,33.390694115727285
5,6,50000,8/11/2023,"6201 E Calle Rosa, Scottsdale, AZ, 85251",2338.0,sqft,21.39,0.46,acres,,2.0,6201 E Calle Rosa,Scottsdale,85251,1,"6201 E CLL ROSA, SCOTTSDALE, AZ, 85251",-111.94729605953938,33.49287725392276
6,7,50000,7/5/2022,"6401 W Devonshire Ave, Phoenix, AZ, 85033",1529.0,sqft,32.7,9161.0,sqft,,2.0,6401 W Devonshire Ave,Phoenix,85033,1,"6401 W DEVONSHIRE AVE, PHOENIX, AZ, 85033",-112.19748334734959,33.49665381767784
7,8,50000,4/28/2023,"3638 W Sunnyside Ave, Phoenix, AZ, 85029",1550.0,sqft,32.26,1.0,acres,2.0,2.0,3638 W Sunnyside Ave,Phoenix,85029,1,"3638 W SUNNYSIDE AVE, PHOENIX, AZ, 85029",-112.13719316309567,33.5924531623445
8,9,50000,3/27/2023,"1637 W Campbell Ave, Phoenix, AZ, 85015",1489.0,sqft,33.58,7422.0,sqft,4.0,3.0,1637 W Campbell Ave,Phoenix,85015,1,"1637 W CAMPBELL AVE, PHOENIX, AZ, 85015",-112.09428970005467,33.502159733605595
9,10,50000,10/20/2021,"2314 W Orchid Ln, Phoenix, AZ, 85021",1362.0,sqft,36.71,6726.0,sqft,,2.0,2314 W Orchid Ln,Phoenix,85021,1,"2314 W ORCHID LN, PHOENIX, AZ, 85021",-112.108576250287,33.56255464363335
10,11,50000,6/18/2021,"3033 E Devonshire Ave UNIT 1005, Phoenix, AZ, 85016",849.0,sqft,58.89,800.0,sqft,,1.0,3033 E Devonshire Ave UNIT 1005,Phoenix,85016,1,"3033 E DEVONSHIRE AVE, PHOENIX, AZ, 85016",-112.01752944987038,33.49691216654986
11,12,50000,8/24/2021,"2612 E Marco Polo Rd, Phoenix, AZ, 85050",,,,0.41,acres,,,2612 E Marco Polo Rd,Phoenix,85050,0,"2612 E MARCO POLO RD, PHOENIX, AZ, 85050",-112.02555623515758,33.66677219180906
12,13,50000,8/15/2023,"2721 E Beverly Ln, Phoenix, AZ, 85032",696.0,sqft,71.84,6501.0,sqft,,,2721 E Beverly Ln,Phoenix,85032,0,"2721 E BEVERLY LN, PHOENIX, AZ, 85032",-112.02331219273015,33.633837559309654
